"region","sector","Year","co2.emiss","scenario"
"AL","cement","1975",0.398131,"crt2030_80p_nl_202502_lowGDPlowPop"
"AR","cement","1975",0.165106,"crt2030_80p_nl_202502_lowGDPlowPop"
"AZ","cement","1975",0.13985,"crt2030_80p_nl_202502_lowGDPlowPop"
"CA","cement","1975",1.2395,"crt2030_80p_nl_202502_lowGDPlowPop"
"CO","cement","1975",0.0582999,"crt2030_80p_nl_202502_lowGDPlowPop"
"FL","cement","1975",0.321596,"crt2030_80p_nl_202502_lowGDPlowPop"
"GA","cement","1975",0.103447,"crt2030_80p_nl_202502_lowGDPlowPop"
"HI","cement","1975",0.0272432,"crt2030_80p_nl_202502_lowGDPlowPop"
"IA","cement","1975",0.26863,"crt2030_80p_nl_202502_lowGDPlowPop"
"IL","cement","1975",0.311459,"crt2030_80p_nl_202502_lowGDPlowPop"
"IN","cement","1975",0.321216,"crt2030_80p_nl_202502_lowGDPlowPop"
"KS","cement","1975",0.213637,"crt2030_80p_nl_202502_lowGDPlowPop"
"KY","cement","1975",0.126908,"crt2030_80p_nl_202502_lowGDPlowPop"
"MD","cement","1975",0.232264,"crt2030_80p_nl_202502_lowGDPlowPop"
"ME","cement","1975",0.0559843,"crt2030_80p_nl_202502_lowGDPlowPop"
"MI","cement","1975",0.612528,"crt2030_80p_nl_202502_lowGDPlowPop"
"MO","cement","1975",0.563997,"crt2030_80p_nl_202502_lowGDPlowPop"
"MT","cement","1975",0.0690182,"crt2030_80p_nl_202502_lowGDPlowPop"
"NE","cement","1975",0.0185551,"crt2030_80p_nl_202502_lowGDPlowPop"
"NM","cement","1975",0.0356656,"crt2030_80p_nl_202502_lowGDPlowPop"
"NV","cement","1975",0.0580151,"crt2030_80p_nl_202502_lowGDPlowPop"
"NY","cement","1975",0.305146,"crt2030_80p_nl_202502_lowGDPlowPop"
"OH","cement","1975",0.169795,"crt2030_80p_nl_202502_lowGDPlowPop"
"OK","cement","1975",0.168781,"crt2030_80p_nl_202502_lowGDPlowPop"
"PA","cement","1975",0.718206,"crt2030_80p_nl_202502_lowGDPlowPop"
"SC","cement","1975",0.298788,"crt2030_80p_nl_202502_lowGDPlowPop"
"SD","cement","1975",0.0199013,"crt2030_80p_nl_202502_lowGDPlowPop"
