"region","sector","Year","co2.emiss","scenario"
"AL","cement","1975",0.398131,"crt2030_80p_nl_202502_trump"
"AR","cement","1975",0.165106,"crt2030_80p_nl_202502_trump"
"AZ","cement","1975",0.13985,"crt2030_80p_nl_202502_trump"
"CA","cement","1975",1.2395,"crt2030_80p_nl_202502_trump"
"CO","cement","1975",0.0582999,"crt2030_80p_nl_202502_trump"
"FL","cement","1975",0.321596,"crt2030_80p_nl_202502_trump"
"GA","cement","1975",0.103447,"crt2030_80p_nl_202502_trump"
"HI","cement","1975",0.0272432,"crt2030_80p_nl_202502_trump"
"IA","cement","1975",0.26863,"crt2030_80p_nl_202502_trump"
"IL","cement","1975",0.311459,"crt2030_80p_nl_202502_trump"
"IN","cement","1975",0.321216,"crt2030_80p_nl_202502_trump"
"KS","cement","1975",0.213637,"crt2030_80p_nl_202502_trump"
"KY","cement","1975",0.126908,"crt2030_80p_nl_202502_trump"
"MD","cement","1975",0.232264,"crt2030_80p_nl_202502_trump"
"ME","cement","1975",0.0559843,"crt2030_80p_nl_202502_trump"
"MI","cement","1975",0.612528,"crt2030_80p_nl_202502_trump"
"MO","cement","1975",0.563997,"crt2030_80p_nl_202502_trump"
"MT","cement","1975",0.0690182,"crt2030_80p_nl_202502_trump"
"NE","cement","1975",0.0185551,"crt2030_80p_nl_202502_trump"
"NM","cement","1975",0.0356656,"crt2030_80p_nl_202502_trump"
"NV","cement","1975",0.0580151,"crt2030_80p_nl_202502_trump"
"NY","cement","1975",0.305146,"crt2030_80p_nl_202502_trump"
"OH","cement","1975",0.169795,"crt2030_80p_nl_202502_trump"
"OK","cement","1975",0.168781,"crt2030_80p_nl_202502_trump"
"PA","cement","1975",0.718206,"crt2030_80p_nl_202502_trump"
"SC","cement","1975",0.298788,"crt2030_80p_nl_202502_trump"
"SD","cement","1975",0.0199013,"crt2030_80p_nl_202502_trump"
"TN","cement","1975",0.161002,"crt2030_80p_nl_202502_trump"
"TX","cement","1975",0.946288,"crt2030_80p_nl_202502_trump"
"UT","cement","1975",0.143225,"crt2030_80p_nl_202502_trump"
"VA","cement","1975",0.0851679,"crt2030_80p_nl_202502_trump"
