region,sector,Year,co2.emiss,scenario
AL,cement,1975,0.398131,crt2040_80p_nl_202502_CP_2070_3
AR,cement,1975,0.165106,crt2040_80p_nl_202502_CP_2070_3
AZ,cement,1975,0.13985,crt2040_80p_nl_202502_CP_2070_3
CA,cement,1975,1.2395,crt2040_80p_nl_202502_CP_2070_3
CO,cement,1975,0.0582999,crt2040_80p_nl_202502_CP_2070_3
FL,cement,1975,0.321596,crt2040_80p_nl_202502_CP_2070_3
GA,cement,1975,0.103447,crt2040_80p_nl_202502_CP_2070_3
HI,cement,1975,0.0272432,crt2040_80p_nl_202502_CP_2070_3
IA,cement,1975,0.26863,crt2040_80p_nl_202502_CP_2070_3
IL,cement,1975,0.311459,crt2040_80p_nl_202502_CP_2070_3
IN,cement,1975,0.321216,crt2040_80p_nl_202502_CP_2070_3
KS,cement,1975,0.213637,crt2040_80p_nl_202502_CP_2070_3
KY,cement,1975,0.126908,crt2040_80p_nl_202502_CP_2070_3
MD,cement,1975,0.232264,crt2040_80p_nl_202502_CP_2070_3
ME,cement,1975,0.0559843,crt2040_80p_nl_202502_CP_2070_3
MI,cement,1975,0.612528,crt2040_80p_nl_202502_CP_2070_3
MO,cement,1975,0.563997,crt2040_80p_nl_202502_CP_2070_3
MT,cement,1975,0.0690182,crt2040_80p_nl_202502_CP_2070_3
NE,cement,1975,0.0185551,crt2040_80p_nl_202502_CP_2070_3
NM,cement,1975,0.0356656,crt2040_80p_nl_202502_CP_2070_3
NV,cement,1975,0.0580151,crt2040_80p_nl_202502_CP_2070_3
NY,cement,1975,0.305146,crt2040_80p_nl_202502_CP_2070_3
OH,cement,1975,0.169795,crt2040_80p_nl_202502_CP_2070_3
OK,cement,1975,0.168781,crt2040_80p_nl_202502_CP_2070_3
PA,cement,1975,0.718206,crt2040_80p_nl_202502_CP_2070_3
SC,cement,1975,0.298788,crt2040_80p_nl_202502_CP_2070_3
SD,cement,1975,0.0199013,crt2040_80p_nl_202502_CP_2070_3
TN,cement,1975,0.161002,crt2040_80p_nl_202502_CP_2070_3
TX,cement,1975,0.946288,crt2040_80p_nl_202502_CP_2070_3
UT,cement,1975,0.143225,crt2040_80p_nl_202502_CP_2070_3
VA,cement,1975,0.0851679,crt2040_80p_nl_202502_CP_2070_3
WV,cement,1975,0.0841773,crt2040_80p_nl_202502_CP_2070_3
WY,cement,1975,0.0318568,crt2040_80p_nl_202502_CP_2070_3
USA,gas pipeline,1975,3.13957,crt2040_80p_nl_202502_CP_2070_3
CA,N fertilizer,1975,0.275631,crt2040_80p_nl_202502_CP_2070_3
FL,N fertilizer,1975,1.59092,crt2040_80p_nl_202502_CP_2070_3
GA,N fertilizer,1975,0.256798,crt2040_80p_nl_202502_CP_2070_3
IA,N fertilizer,1975,0.342255,crt2040_80p_nl_202502_CP_2070_3
LA,N fertilizer,1975,1.71844,crt2040_80p_nl_202502_CP_2070_3
MO,N fertilizer,1975,0.741614,crt2040_80p_nl_202502_CP_2070_3
NC,N fertilizer,1975,0.277035,crt2040_80p_nl_202502_CP_2070_3
OH,N fertilizer,1975,0.342663,crt2040_80p_nl_202502_CP_2070_3
TX,N fertilizer,1975,0.317776,crt2040_80p_nl_202502_CP_2070_3
AK,other industrial energy use,1975,0.840883,crt2040_80p_nl_202502_CP_2070_3
AL,other industrial energy use,1975,8.067298602,crt2040_80p_nl_202502_CP_2070_3
AR,other industrial energy use,1975,2.310053606,crt2040_80p_nl_202502_CP_2070_3
AZ,other industrial energy use,1975,0.987046114,crt2040_80p_nl_202502_CP_2070_3
CA,other industrial energy use,1975,11.45297799,crt2040_80p_nl_202502_CP_2070_3
CO,other industrial energy use,1975,2.286802658,crt2040_80p_nl_202502_CP_2070_3
CT,other industrial energy use,1975,1.0563351,crt2040_80p_nl_202502_CP_2070_3
DC,other industrial energy use,1975,0.21991823,crt2040_80p_nl_202502_CP_2070_3
DE,other industrial energy use,1975,0.4238051,crt2040_80p_nl_202502_CP_2070_3
FL,other industrial energy use,1975,2.153539321,crt2040_80p_nl_202502_CP_2070_3
GA,other industrial energy use,1975,2.987627108,crt2040_80p_nl_202502_CP_2070_3
HI,other industrial energy use,1975,0.17079586,crt2040_80p_nl_202502_CP_2070_3
IA,other industrial energy use,1975,2.963750149,crt2040_80p_nl_202502_CP_2070_3
ID,other industrial energy use,1975,0.962078,crt2040_80p_nl_202502_CP_2070_3
IL,other industrial energy use,1975,11.09782052,crt2040_80p_nl_202502_CP_2070_3
IN,other industrial energy use,1975,14.34061979,crt2040_80p_nl_202502_CP_2070_3
KS,other industrial energy use,1975,2.369263492,crt2040_80p_nl_202502_CP_2070_3
KY,other industrial energy use,1975,3.168669135,crt2040_80p_nl_202502_CP_2070_3
LA,other industrial energy use,1975,18.36158,crt2040_80p_nl_202502_CP_2070_3
MA,other industrial energy use,1975,1.7493278,crt2040_80p_nl_202502_CP_2070_3
MD,other industrial energy use,1975,3.483948942,crt2040_80p_nl_202502_CP_2070_3
ME,other industrial energy use,1975,0.49508894,crt2040_80p_nl_202502_CP_2070_3
MI,other industrial energy use,1975,10.32858956,crt2040_80p_nl_202502_CP_2070_3
MN,other industrial energy use,1975,3.2578,crt2040_80p_nl_202502_CP_2070_3
MO,other industrial energy use,1975,2.904879269,crt2040_80p_nl_202502_CP_2070_3
MS,other industrial energy use,1975,1.7158724,crt2040_80p_nl_202502_CP_2070_3
MT,other industrial energy use,1975,0.8139708,crt2040_80p_nl_202502_CP_2070_3
NC,other industrial energy use,1975,2.641268,crt2040_80p_nl_202502_CP_2070_3
ND,other industrial energy use,1975,0.595051,crt2040_80p_nl_202502_CP_2070_3
NE,other industrial energy use,1975,1.450234962,crt2040_80p_nl_202502_CP_2070_3
NH,other industrial energy use,1975,0.22908231,crt2040_80p_nl_202502_CP_2070_3
NJ,other industrial energy use,1975,2.6543915,crt2040_80p_nl_202502_CP_2070_3
NM,other industrial energy use,1975,1.601760038,crt2040_80p_nl_202502_CP_2070_3
NV,other industrial energy use,1975,0.2350317,crt2040_80p_nl_202502_CP_2070_3
NY,other industrial energy use,1975,7.731959587,crt2040_80p_nl_202502_CP_2070_3
OH,other industrial energy use,1975,18.11723998,crt2040_80p_nl_202502_CP_2070_3
OK,other industrial energy use,1975,2.966272336,crt2040_80p_nl_202502_CP_2070_3
OR,other industrial energy use,1975,1.3115085,crt2040_80p_nl_202502_CP_2070_3
PA,other industrial energy use,1975,21.75143002,crt2040_80p_nl_202502_CP_2070_3
RI,other industrial energy use,1975,0.25838823,crt2040_80p_nl_202502_CP_2070_3
SC,other industrial energy use,1975,1.926152263,crt2040_80p_nl_202502_CP_2070_3
SD,other industrial energy use,1975,0.322271538,crt2040_80p_nl_202502_CP_2070_3
TN,other industrial energy use,1975,3.105863635,crt2040_80p_nl_202502_CP_2070_3
TX,other industrial energy use,1975,36.84692553,crt2040_80p_nl_202502_CP_2070_3
UT,other industrial energy use,1975,2.473064981,crt2040_80p_nl_202502_CP_2070_3
VA,other industrial energy use,1975,2.753133715,crt2040_80p_nl_202502_CP_2070_3
VT,other industrial energy use,1975,0.09489078,crt2040_80p_nl_202502_CP_2070_3
WA,other industrial energy use,1975,2.363523,crt2040_80p_nl_202502_CP_2070_3
WI,other industrial energy use,1975,3.933988,crt2040_80p_nl_202502_CP_2070_3
WV,other industrial energy use,1975,6.043195567,crt2040_80p_nl_202502_CP_2070_3
WY,other industrial energy use,1975,1.2780899,crt2040_80p_nl_202502_CP_2070_3
AL,process heat cement,1975,0.346416588,crt2040_80p_nl_202502_CP_2070_3
AR,process heat cement,1975,0.143659904,crt2040_80p_nl_202502_CP_2070_3
AZ,process heat cement,1975,0.121684836,crt2040_80p_nl_202502_CP_2070_3
CA,process heat cement,1975,1.078500405,crt2040_80p_nl_202502_CP_2070_3
CO,process heat cement,1975,0.050727216,crt2040_80p_nl_202502_CP_2070_3
FL,process heat cement,1975,0.279823309,crt2040_80p_nl_202502_CP_2070_3
GA,process heat cement,1975,0.090009998,crt2040_80p_nl_202502_CP_2070_3
HI,process heat cement,1975,0.023928643,crt2040_80p_nl_202502_CP_2070_3
IA,process heat cement,1975,0.233737481,crt2040_80p_nl_202502_CP_2070_3
IL,process heat cement,1975,0.271003628,crt2040_80p_nl_202502_CP_2070_3
IN,process heat cement,1975,0.279492507,crt2040_80p_nl_202502_CP_2070_3
KS,process heat cement,1975,0.185887348,crt2040_80p_nl_202502_CP_2070_3
KY,process heat cement,1975,0.110424025,crt2040_80p_nl_202502_CP_2070_3
MD,process heat cement,1975,0.202095098,crt2040_80p_nl_202502_CP_2070_3
ME,process heat cement,1975,0.049173037,crt2040_80p_nl_202502_CP_2070_3
MI,process heat cement,1975,0.532965122,crt2040_80p_nl_202502_CP_2070_3
MO,process heat cement,1975,0.490737571,crt2040_80p_nl_202502_CP_2070_3
MT,process heat cement,1975,0.060621195,crt2040_80p_nl_202502_CP_2070_3
NE,process heat cement,1975,0.016144986,crt2040_80p_nl_202502_CP_2070_3
NM,process heat cement,1975,0.031032998,crt2040_80p_nl_202502_CP_2070_3
NV,process heat cement,1975,0.050479375,crt2040_80p_nl_202502_CP_2070_3
NY,process heat cement,1975,0.265510523,crt2040_80p_nl_202502_CP_2070_3
OH,process heat cement,1975,0.147739552,crt2040_80p_nl_202502_CP_2070_3
OK,process heat cement,1975,0.146857904,crt2040_80p_nl_202502_CP_2070_3
PA,process heat cement,1975,0.62491649,crt2040_80p_nl_202502_CP_2070_3
SC,process heat cement,1975,0.259977247,crt2040_80p_nl_202502_CP_2070_3
SD,process heat cement,1975,0.017316361,crt2040_80p_nl_202502_CP_2070_3
TN,process heat cement,1975,0.140089065,crt2040_80p_nl_202502_CP_2070_3
TX,process heat cement,1975,0.823373221,crt2040_80p_nl_202502_CP_2070_3
UT,process heat cement,1975,0.124621259,crt2040_80p_nl_202502_CP_2070_3
VA,process heat cement,1975,0.074105151,crt2040_80p_nl_202502_CP_2070_3
WV,process heat cement,1975,0.073243349,crt2040_80p_nl_202502_CP_2070_3
WY,process heat cement,1975,0.027980905,crt2040_80p_nl_202502_CP_2070_3
AK,trn_aviation_intl,1975,0.178948,crt2040_80p_nl_202502_CP_2070_3
AL,trn_aviation_intl,1975,0.0404899,crt2040_80p_nl_202502_CP_2070_3
AR,trn_aviation_intl,1975,0.0463877,crt2040_80p_nl_202502_CP_2070_3
AZ,trn_aviation_intl,1975,0.165729,crt2040_80p_nl_202502_CP_2070_3
