"region","sector","Year","co2.emiss","scenario"
"AL","cement","1975",0.398131,"crt2040_80p_nl_202502_global"
"AR","cement","1975",0.165106,"crt2040_80p_nl_202502_global"
"AZ","cement","1975",0.13985,"crt2040_80p_nl_202502_global"
"CA","cement","1975",1.2395,"crt2040_80p_nl_202502_global"
"CO","cement","1975",0.0582999,"crt2040_80p_nl_202502_global"
"FL","cement","1975",0.321596,"crt2040_80p_nl_202502_global"
"GA","cement","1975",0.103447,"crt2040_80p_nl_202502_global"
"HI","cement","1975",0.0272432,"crt2040_80p_nl_202502_global"
"IA","cement","1975",0.26863,"crt2040_80p_nl_202502_global"
"IL","cement","1975",0.311459,"crt2040_80p_nl_202502_global"
"IN","cement","1975",0.321216,"crt2040_80p_nl_202502_global"
"KS","cement","1975",0.213637,"crt2040_80p_nl_202502_global"
"KY","cement","1975",0.126908,"crt2040_80p_nl_202502_global"
"MD","cement","1975",0.232264,"crt2040_80p_nl_202502_global"
"ME","cement","1975",0.0559843,"crt2040_80p_nl_202502_global"
"MI","cement","1975",0.612528,"crt2040_80p_nl_202502_global"
"MO","cement","1975",0.563997,"crt2040_80p_nl_202502_global"
"MT","cement","1975",0.0690182,"crt2040_80p_nl_202502_global"
"NE","cement","1975",0.0185551,"crt2040_80p_nl_202502_global"
"NM","cement","1975",0.0356656,"crt2040_80p_nl_202502_global"
"NV","cement","1975",0.0580151,"crt2040_80p_nl_202502_global"
"NY","cement","1975",0.305146,"crt2040_80p_nl_202502_global"
"OH","cement","1975",0.169795,"crt2040_80p_nl_202502_global"
"OK","cement","1975",0.168781,"crt2040_80p_nl_202502_global"
"PA","cement","1975",0.718206,"crt2040_80p_nl_202502_global"
"SC","cement","1975",0.298788,"crt2040_80p_nl_202502_global"
"SD","cement","1975",0.0199013,"crt2040_80p_nl_202502_global"
"TN","cement","1975",0.161002,"crt2040_80p_nl_202502_global"
"TX","cement","1975",0.946288,"crt2040_80p_nl_202502_global"
"UT","cement","1975",0.143225,"crt2040_80p_nl_202502_global"
"VA","cement","1975",0.0851679,"crt2040_80p_nl_202502_global"
"WV","cement","1975",0.0841773,"crt2040_80p_nl_202502_global"
"WY","cement","1975",0.0318568,"crt2040_80p_nl_202502_global"
"USA","gas pipeline","1975",3.13957,"crt2040_80p_nl_202502_global"
"CA","N fertilizer","1975",0.275631,"crt2040_80p_nl_202502_global"
"FL","N fertilizer","1975",1.59092,"crt2040_80p_nl_202502_global"
"GA","N fertilizer","1975",0.256798,"crt2040_80p_nl_202502_global"
"IA","N fertilizer","1975",0.342255,"crt2040_80p_nl_202502_global"
"LA","N fertilizer","1975",1.71844,"crt2040_80p_nl_202502_global"
"MO","N fertilizer","1975",0.741614,"crt2040_80p_nl_202502_global"
