"region","sector","Year","co2.emiss","scenario"
"AL","cement","1975",0.398131,"stick_0821_80p_lowGDPlowPop"
"AR","cement","1975",0.165106,"stick_0821_80p_lowGDPlowPop"
"AZ","cement","1975",0.13985,"stick_0821_80p_lowGDPlowPop"
"CA","cement","1975",1.2395,"stick_0821_80p_lowGDPlowPop"
"CO","cement","1975",0.0582999,"stick_0821_80p_lowGDPlowPop"
"FL","cement","1975",0.321596,"stick_0821_80p_lowGDPlowPop"
"GA","cement","1975",0.103447,"stick_0821_80p_lowGDPlowPop"
"HI","cement","1975",0.0272432,"stick_0821_80p_lowGDPlowPop"
"IA","cement","1975",0.26863,"stick_0821_80p_lowGDPlowPop"
"IL","cement","1975",0.311459,"stick_0821_80p_lowGDPlowPop"
"IN","cement","1975",0.321216,"stick_0821_80p_lowGDPlowPop"
"KS","cement","1975",0.213637,"stick_0821_80p_lowGDPlowPop"
"KY","cement","1975",0.126908,"stick_0821_80p_lowGDPlowPop"
"MD","cement","1975",0.232264,"stick_0821_80p_lowGDPlowPop"
"ME","cement","1975",0.0559843,"stick_0821_80p_lowGDPlowPop"
"MI","cement","1975",0.612528,"stick_0821_80p_lowGDPlowPop"
"MO","cement","1975",0.563997,"stick_0821_80p_lowGDPlowPop"
"MT","cement","1975",0.0690182,"stick_0821_80p_lowGDPlowPop"
"NE","cement","1975",0.0185551,"stick_0821_80p_lowGDPlowPop"
"NM","cement","1975",0.0356656,"stick_0821_80p_lowGDPlowPop"
"NV","cement","1975",0.0580151,"stick_0821_80p_lowGDPlowPop"
"NY","cement","1975",0.305146,"stick_0821_80p_lowGDPlowPop"
"OH","cement","1975",0.169795,"stick_0821_80p_lowGDPlowPop"
"OK","cement","1975",0.168781,"stick_0821_80p_lowGDPlowPop"
"PA","cement","1975",0.718206,"stick_0821_80p_lowGDPlowPop"
"SC","cement","1975",0.298788,"stick_0821_80p_lowGDPlowPop"
"SD","cement","1975",0.0199013,"stick_0821_80p_lowGDPlowPop"
"TN","cement","1975",0.161002,"stick_0821_80p_lowGDPlowPop"
"TX","cement","1975",0.946288,"stick_0821_80p_lowGDPlowPop"
"UT","cement","1975",0.143225,"stick_0821_80p_lowGDPlowPop"
"VA","cement","1975",0.0851679,"stick_0821_80p_lowGDPlowPop"
"WV","cement","1975",0.0841773,"stick_0821_80p_lowGDPlowPop"
"WY","cement","1975",0.0318568,"stick_0821_80p_lowGDPlowPop"
"USA","gas pipeline","1975",3.13957,"stick_0821_80p_lowGDPlowPop"
"CA","N fertilizer","1975",0.275631,"stick_0821_80p_lowGDPlowPop"
"FL","N fertilizer","1975",1.59092,"stick_0821_80p_lowGDPlowPop"
"GA","N fertilizer","1975",0.256798,"stick_0821_80p_lowGDPlowPop"
"IA","N fertilizer","1975",0.342255,"stick_0821_80p_lowGDPlowPop"
"LA","N fertilizer","1975",1.71844,"stick_0821_80p_lowGDPlowPop"
"MO","N fertilizer","1975",0.741614,"stick_0821_80p_lowGDPlowPop"
"NC","N fertilizer","1975",0.277035,"stick_0821_80p_lowGDPlowPop"
"OH","N fertilizer","1975",0.342663,"stick_0821_80p_lowGDPlowPop"
"TX","N fertilizer","1975",0.317776,"stick_0821_80p_lowGDPlowPop"
"AK","other industrial energy use","1975",0.840883,"stick_0821_80p_lowGDPlowPop"
"AL","other industrial energy use","1975",8.06729860181692,"stick_0821_80p_lowGDPlowPop"
"AR","other industrial energy use","1975",2.31005360592561,"stick_0821_80p_lowGDPlowPop"
"AZ","other industrial energy use","1975",0.987046113754401,"stick_0821_80p_lowGDPlowPop"
