Units,scenario,year,market,value
1975$/kg,allin,2050,USACO2,330.808
,crt2030_80p_nl_0821_likeBEV2,2050,USACO2,337.34
,crt2040_80p_nl_0821_likeBEV2,2050,USACO2,428.174
,crt2030_80p_l_0821_likeBEV2,2050,USACO2,192.548
,crt2040_80p_l_0821_likeBEV2,2050,USACO2,289.877
,crt2030_80p_nl_0821_hateBEV2,2050,USACO2,331.285
,crt2040_80p_nl_0821_hateBEV2,2050,USACO2,427.036
,crt2030_80p_l_0821_hateBEV2,2050,USACO2,187.134
,crt2040_80p_l_0821_hateBEV2,2050,USACO2,292.176
,crt2030_80p_l_0821_hateBEV2,2035,USACO2,277.106
,crt2030_80p_l_0821_hateBEV2,2040,USACO2,286.264
,crt2030_80p_l_0821_hateBEV2,2045,USACO2,253.805
