Units,scenario,year,market,value
1975$/kg,stick_20240822_80p,1975,AKCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,AKairCO2,0
1975$/kg,stick_20240822_80p,1975,ALCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,ALairCO2,0
1975$/kg,stick_20240822_80p,1975,ARCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,ARairCO2,0
1975$/kg,stick_20240822_80p,1975,AZCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,AZairCO2,0
1975$/kg,stick_20240822_80p,1975,Africa_EasternCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,Africa_EasternairCO2,0
1975$/kg,stick_20240822_80p,1975,Africa_NorthernCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,Africa_NorthernairCO2,0
1975$/kg,stick_20240822_80p,1975,Africa_SouthernCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,Africa_SouthernairCO2,0
1975$/kg,stick_20240822_80p,1975,Africa_WesternCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,Africa_WesternairCO2,0
1975$/kg,stick_20240822_80p,1975,ArgentinaCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,ArgentinaairCO2,0
1975$/kg,stick_20240822_80p,1975,Australia_NZCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,Australia_NZairCO2,0
1975$/kg,stick_20240822_80p,1975,BrazilCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,BrazilairCO2,0
1975$/kg,stick_20240822_80p,1975,CACO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,CAairCO2,0
1975$/kg,stick_20240822_80p,1975,COCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,COairCO2,0
1975$/kg,stick_20240822_80p,1975,CTCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,CTairCO2,0
1975$/kg,stick_20240822_80p,1975,CanadaCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,CanadaairCO2,0
1975$/kg,stick_20240822_80p,1975,Central America and CaribbeanCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,Central America and CaribbeanairCO2,0
1975$/kg,stick_20240822_80p,1975,Central AsiaCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,Central AsiaairCO2,0
1975$/kg,stick_20240822_80p,1975,ChinaCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,ChinaairCO2,0
1975$/kg,stick_20240822_80p,1975,ColombiaCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,ColombiaairCO2,0
1975$/kg,stick_20240822_80p,1975,DCCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,DCairCO2,0
1975$/kg,stick_20240822_80p,1975,DECO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,DEairCO2,0
1975$/kg,stick_20240822_80p,1975,EU-12CO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,EU-12airCO2,0
1975$/kg,stick_20240822_80p,1975,EU-15CO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,EU-15airCO2,0
1975$/kg,stick_20240822_80p,1975,Europe_EasternCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,Europe_EasternairCO2,0
1975$/kg,stick_20240822_80p,1975,Europe_Non_EUCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,Europe_Non_EUairCO2,0
1975$/kg,stick_20240822_80p,1975,European Free Trade AssociationCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,European Free Trade AssociationairCO2,0
1975$/kg,stick_20240822_80p,1975,FLCO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,FLairCO2,0
1975$/kg,stick_20240822_80p,1975,GACO2 removal,0.001
1975$/kg,stick_20240822_80p,1975,GAairCO2,0
1975$/kg,stick_20240822_80p,1975,HICO2 removal,0.001
