"region","sector","Year","co2.emiss","scenario"
"AL","cement","1975",0.398131,"crt2040_80p_l_202502_midLearning"
"AR","cement","1975",0.165106,"crt2040_80p_l_202502_midLearning"
"AZ","cement","1975",0.13985,"crt2040_80p_l_202502_midLearning"
"CA","cement","1975",1.2395,"crt2040_80p_l_202502_midLearning"
"CO","cement","1975",0.0582999,"crt2040_80p_l_202502_midLearning"
"FL","cement","1975",0.321596,"crt2040_80p_l_202502_midLearning"
"GA","cement","1975",0.103447,"crt2040_80p_l_202502_midLearning"
"HI","cement","1975",0.0272432,"crt2040_80p_l_202502_midLearning"
"IA","cement","1975",0.26863,"crt2040_80p_l_202502_midLearning"
"IL","cement","1975",0.311459,"crt2040_80p_l_202502_midLearning"
"IN","cement","1975",0.321216,"crt2040_80p_l_202502_midLearning"
"KS","cement","1975",0.213637,"crt2040_80p_l_202502_midLearning"
"KY","cement","1975",0.126908,"crt2040_80p_l_202502_midLearning"
"MD","cement","1975",0.232264,"crt2040_80p_l_202502_midLearning"
"ME","cement","1975",0.0559843,"crt2040_80p_l_202502_midLearning"
"MI","cement","1975",0.612528,"crt2040_80p_l_202502_midLearning"
"MO","cement","1975",0.563997,"crt2040_80p_l_202502_midLearning"
"MT","cement","1975",0.0690182,"crt2040_80p_l_202502_midLearning"
"NE","cement","1975",0.0185551,"crt2040_80p_l_202502_midLearning"
"NM","cement","1975",0.0356656,"crt2040_80p_l_202502_midLearning"
"NV","cement","1975",0.0580151,"crt2040_80p_l_202502_midLearning"
"NY","cement","1975",0.305146,"crt2040_80p_l_202502_midLearning"
"OH","cement","1975",0.169795,"crt2040_80p_l_202502_midLearning"
"OK","cement","1975",0.168781,"crt2040_80p_l_202502_midLearning"
"PA","cement","1975",0.718206,"crt2040_80p_l_202502_midLearning"
"SC","cement","1975",0.298788,"crt2040_80p_l_202502_midLearning"
"SD","cement","1975",0.0199013,"crt2040_80p_l_202502_midLearning"
"TN","cement","1975",0.161002,"crt2040_80p_l_202502_midLearning"
"TX","cement","1975",0.946288,"crt2040_80p_l_202502_midLearning"
"UT","cement","1975",0.143225,"crt2040_80p_l_202502_midLearning"
"VA","cement","1975",0.0851679,"crt2040_80p_l_202502_midLearning"
"WV","cement","1975",0.0841773,"crt2040_80p_l_202502_midLearning"
"WY","cement","1975",0.0318568,"crt2040_80p_l_202502_midLearning"
"USA","gas pipeline","1975",3.13957,"crt2040_80p_l_202502_midLearning"
"CA","N fertilizer","1975",0.275631,"crt2040_80p_l_202502_midLearning"
"FL","N fertilizer","1975",1.59092,"crt2040_80p_l_202502_midLearning"
"GA","N fertilizer","1975",0.256798,"crt2040_80p_l_202502_midLearning"
"IA","N fertilizer","1975",0.342255,"crt2040_80p_l_202502_midLearning"
"LA","N fertilizer","1975",1.71844,"crt2040_80p_l_202502_midLearning"
"MO","N fertilizer","1975",0.741614,"crt2040_80p_l_202502_midLearning"
"NC","N fertilizer","1975",0.277035,"crt2040_80p_l_202502_midLearning"
"OH","N fertilizer","1975",0.342663,"crt2040_80p_l_202502_midLearning"
"TX","N fertilizer","1975",0.317776,"crt2040_80p_l_202502_midLearning"
"AK","other industrial energy use","1975",0.840883,"crt2040_80p_l_202502_midLearning"
"AL","other industrial energy use","1975",8.06729860181692,"crt2040_80p_l_202502_midLearning"
"AR","other industrial energy use","1975",2.31005360592561,"crt2040_80p_l_202502_midLearning"
"AZ","other industrial energy use","1975",0.987046113754401,"crt2040_80p_l_202502_midLearning"
"CA","other industrial energy use","1975",11.4529779949902,"crt2040_80p_l_202502_midLearning"
"CO","other industrial energy use","1975",2.28680265761733,"crt2040_80p_l_202502_midLearning"
"CT","other industrial energy use","1975",1.0563351,"crt2040_80p_l_202502_midLearning"
"DC","other industrial energy use","1975",0.21991823,"crt2040_80p_l_202502_midLearning"
"DE","other industrial energy use","1975",0.4238051,"crt2040_80p_l_202502_midLearning"
"FL","other industrial energy use","1975",2.15353932112671,"crt2040_80p_l_202502_midLearning"
"GA","other industrial energy use","1975",2.9876271083808,"crt2040_80p_l_202502_midLearning"
"HI","other industrial energy use","1975",0.17079586,"crt2040_80p_l_202502_midLearning"
"IA","other industrial energy use","1975",2.96375014866992,"crt2040_80p_l_202502_midLearning"
"ID","other industrial energy use","1975",0.962078,"crt2040_80p_l_202502_midLearning"
"IL","other industrial energy use","1975",11.0978205219141,"crt2040_80p_l_202502_midLearning"
"IN","other industrial energy use","1975",14.3406197927884,"crt2040_80p_l_202502_midLearning"
"KS","other industrial energy use","1975",2.36926349234755,"crt2040_80p_l_202502_midLearning"
"KY","other industrial energy use","1975",3.16866913462603,"crt2040_80p_l_202502_midLearning"
"LA","other industrial energy use","1975",18.36158,"crt2040_80p_l_202502_midLearning"
"MA","other industrial energy use","1975",1.7493278,"crt2040_80p_l_202502_midLearning"
"MD","other industrial energy use","1975",3.48394894227053,"crt2040_80p_l_202502_midLearning"
"ME","other industrial energy use","1975",0.49508894,"crt2040_80p_l_202502_midLearning"
"MI","other industrial energy use","1975",10.3285895578037,"crt2040_80p_l_202502_midLearning"
"MN","other industrial energy use","1975",3.2578,"crt2040_80p_l_202502_midLearning"
"MO","other industrial energy use","1975",2.90487926884466,"crt2040_80p_l_202502_midLearning"
"MS","other industrial energy use","1975",1.7158724,"crt2040_80p_l_202502_midLearning"
"MT","other industrial energy use","1975",0.8139708,"crt2040_80p_l_202502_midLearning"
"NC","other industrial energy use","1975",2.641268,"crt2040_80p_l_202502_midLearning"
"ND","other industrial energy use","1975",0.595051,"crt2040_80p_l_202502_midLearning"
"NE","other industrial energy use","1975",1.45023496174018,"crt2040_80p_l_202502_midLearning"
"NH","other industrial energy use","1975",0.22908231,"crt2040_80p_l_202502_midLearning"
"NJ","other industrial energy use","1975",2.6543915,"crt2040_80p_l_202502_midLearning"
"NM","other industrial energy use","1975",1.60176003815415,"crt2040_80p_l_202502_midLearning"
"NV","other industrial energy use","1975",0.2350317,"crt2040_80p_l_202502_midLearning"
"NY","other industrial energy use","1975",7.73195958747004,"crt2040_80p_l_202502_midLearning"
"OH","other industrial energy use","1975",18.1172399784251,"crt2040_80p_l_202502_midLearning"
"OK","other industrial energy use","1975",2.96627233604831,"crt2040_80p_l_202502_midLearning"
"OR","other industrial energy use","1975",1.3115085,"crt2040_80p_l_202502_midLearning"
"PA","other industrial energy use","1975",21.7514300197896,"crt2040_80p_l_202502_midLearning"
"RI","other industrial energy use","1975",0.25838823,"crt2040_80p_l_202502_midLearning"
"SC","other industrial energy use","1975",1.92615226312082,"crt2040_80p_l_202502_midLearning"
"SD","other industrial energy use","1975",0.322271537765611,"crt2040_80p_l_202502_midLearning"
"TN","other industrial energy use","1975",3.10586363529085,"crt2040_80p_l_202502_midLearning"
"TX","other industrial energy use","1975",36.846925528984,"crt2040_80p_l_202502_midLearning"
"UT","other industrial energy use","1975",2.47306498083712,"crt2040_80p_l_202502_midLearning"
"VA","other industrial energy use","1975",2.75313371508134,"crt2040_80p_l_202502_midLearning"
"VT","other industrial energy use","1975",0.09489078,"crt2040_80p_l_202502_midLearning"
"WA","other industrial energy use","1975",2.363523,"crt2040_80p_l_202502_midLearning"
"WI","other industrial energy use","1975",3.933988,"crt2040_80p_l_202502_midLearning"
"WV","other industrial energy use","1975",6.0431955669716,"crt2040_80p_l_202502_midLearning"
"WY","other industrial energy use","1975",1.2780899,"crt2040_80p_l_202502_midLearning"
"AL","process heat cement","1975",0.346416588183079,"crt2040_80p_l_202502_midLearning"
"AR","process heat cement","1975",0.143659904074386,"crt2040_80p_l_202502_midLearning"
"AZ","process heat cement","1975",0.121684836245599,"crt2040_80p_l_202502_midLearning"
"CA","process heat cement","1975",1.07850040500979,"crt2040_80p_l_202502_midLearning"
"CO","process heat cement","1975",0.0507272163826731,"crt2040_80p_l_202502_midLearning"
"FL","process heat cement","1975",0.279823308873289,"crt2040_80p_l_202502_midLearning"
"GA","process heat cement","1975",0.0900099976192027,"crt2040_80p_l_202502_midLearning"
"HI","process heat cement","1975",0.023928643,"crt2040_80p_l_202502_midLearning"
"IA","process heat cement","1975",0.233737481330079,"crt2040_80p_l_202502_midLearning"
"IL","process heat cement","1975",0.271003628085926,"crt2040_80p_l_202502_midLearning"
"IN","process heat cement","1975",0.279492507211566,"crt2040_80p_l_202502_midLearning"
"KS","process heat cement","1975",0.185887347652451,"crt2040_80p_l_202502_midLearning"
"KY","process heat cement","1975",0.110424025373971,"crt2040_80p_l_202502_midLearning"
"MD","process heat cement","1975",0.202095097729469,"crt2040_80p_l_202502_midLearning"
"ME","process heat cement","1975",0.049173037,"crt2040_80p_l_202502_midLearning"
"MI","process heat cement","1975",0.532965122196327,"crt2040_80p_l_202502_midLearning"
"MO","process heat cement","1975",0.490737571155342,"crt2040_80p_l_202502_midLearning"
"MT","process heat cement","1975",0.060621195,"crt2040_80p_l_202502_midLearning"
"NE","process heat cement","1975",0.0161449862598208,"crt2040_80p_l_202502_midLearning"
"NM","process heat cement","1975",0.0310329978458493,"crt2040_80p_l_202502_midLearning"
"NV","process heat cement","1975",0.050479375,"crt2040_80p_l_202502_midLearning"
"NY","process heat cement","1975",0.265510522529961,"crt2040_80p_l_202502_midLearning"
"OH","process heat cement","1975",0.147739551574908,"crt2040_80p_l_202502_midLearning"
"OK","process heat cement","1975",0.146857903951691,"crt2040_80p_l_202502_midLearning"
"PA","process heat cement","1975",0.624916490210396,"crt2040_80p_l_202502_midLearning"
"SC","process heat cement","1975",0.259977246879178,"crt2040_80p_l_202502_midLearning"
"SD","process heat cement","1975",0.0173163612343892,"crt2040_80p_l_202502_midLearning"
"TN","process heat cement","1975",0.140089064709145,"crt2040_80p_l_202502_midLearning"
"TX","process heat cement","1975",0.823373221015953,"crt2040_80p_l_202502_midLearning"
"UT","process heat cement","1975",0.12462125916288,"crt2040_80p_l_202502_midLearning"
"VA","process heat cement","1975",0.0741051509186629,"crt2040_80p_l_202502_midLearning"
"WV","process heat cement","1975",0.0732433490284037,"crt2040_80p_l_202502_midLearning"
"WY","process heat cement","1975",0.027980905,"crt2040_80p_l_202502_midLearning"
"AK","trn_aviation_intl","1975",0.178948,"crt2040_80p_l_202502_midLearning"
"AL","trn_aviation_intl","1975",0.0404899,"crt2040_80p_l_202502_midLearning"
"AR","trn_aviation_intl","1975",0.0463877,"crt2040_80p_l_202502_midLearning"
"AZ","trn_aviation_intl","1975",0.165729,"crt2040_80p_l_202502_midLearning"
"CA","trn_aviation_intl","1975",1.50395,"crt2040_80p_l_202502_midLearning"
"CO","trn_aviation_intl","1975",0.173683,"crt2040_80p_l_202502_midLearning"
"CT","trn_aviation_intl","1975",0.0488957,"crt2040_80p_l_202502_midLearning"
"DE","trn_aviation_intl","1975",0.0381228,"crt2040_80p_l_202502_midLearning"
