"region","sector","Year","co2.emiss","scenario"
"AL","cement","1975",0.398131,"crt2040_80p_l_202502_onshoring"
"AR","cement","1975",0.165106,"crt2040_80p_l_202502_onshoring"
"AZ","cement","1975",0.13985,"crt2040_80p_l_202502_onshoring"
"CA","cement","1975",1.2395,"crt2040_80p_l_202502_onshoring"
"CO","cement","1975",0.0582999,"crt2040_80p_l_202502_onshoring"
"FL","cement","1975",0.321596,"crt2040_80p_l_202502_onshoring"
"GA","cement","1975",0.103447,"crt2040_80p_l_202502_onshoring"
"HI","cement","1975",0.0272432,"crt2040_80p_l_202502_onshoring"
"IA","cement","1975",0.26863,"crt2040_80p_l_202502_onshoring"
"IL","cement","1975",0.311459,"crt2040_80p_l_202502_onshoring"
"IN","cement","1975",0.321216,"crt2040_80p_l_202502_onshoring"
"KS","cement","1975",0.213637,"crt2040_80p_l_202502_onshoring"
"KY","cement","1975",0.126908,"crt2040_80p_l_202502_onshoring"
"MD","cement","1975",0.232264,"crt2040_80p_l_202502_onshoring"
"ME","cement","1975",0.0559843,"crt2040_80p_l_202502_onshoring"
"MI","cement","1975",0.612528,"crt2040_80p_l_202502_onshoring"
"MO","cement","1975",0.563997,"crt2040_80p_l_202502_onshoring"
"MT","cement","1975",0.0690182,"crt2040_80p_l_202502_onshoring"
"NE","cement","1975",0.0185551,"crt2040_80p_l_202502_onshoring"
"NM","cement","1975",0.0356656,"crt2040_80p_l_202502_onshoring"
"NV","cement","1975",0.0580151,"crt2040_80p_l_202502_onshoring"
"NY","cement","1975",0.305146,"crt2040_80p_l_202502_onshoring"
"OH","cement","1975",0.169795,"crt2040_80p_l_202502_onshoring"
"OK","cement","1975",0.168781,"crt2040_80p_l_202502_onshoring"
"PA","cement","1975",0.718206,"crt2040_80p_l_202502_onshoring"
"SC","cement","1975",0.298788,"crt2040_80p_l_202502_onshoring"
"SD","cement","1975",0.0199013,"crt2040_80p_l_202502_onshoring"
"TN","cement","1975",0.161002,"crt2040_80p_l_202502_onshoring"
"TX","cement","1975",0.946288,"crt2040_80p_l_202502_onshoring"
"UT","cement","1975",0.143225,"crt2040_80p_l_202502_onshoring"
"VA","cement","1975",0.0851679,"crt2040_80p_l_202502_onshoring"
