"region","sector","Year","co2.emiss","scenario"
"AL","cement","1975",0.398131,"stick_0821_80p_highGDPhighPop"
"AR","cement","1975",0.165106,"stick_0821_80p_highGDPhighPop"
"AZ","cement","1975",0.13985,"stick_0821_80p_highGDPhighPop"
"CA","cement","1975",1.2395,"stick_0821_80p_highGDPhighPop"
"CO","cement","1975",0.0582999,"stick_0821_80p_highGDPhighPop"
"FL","cement","1975",0.321596,"stick_0821_80p_highGDPhighPop"
"GA","cement","1975",0.103447,"stick_0821_80p_highGDPhighPop"
"HI","cement","1975",0.0272432,"stick_0821_80p_highGDPhighPop"
"IA","cement","1975",0.26863,"stick_0821_80p_highGDPhighPop"
"IL","cement","1975",0.311459,"stick_0821_80p_highGDPhighPop"
"IN","cement","1975",0.321216,"stick_0821_80p_highGDPhighPop"
"KS","cement","1975",0.213637,"stick_0821_80p_highGDPhighPop"
"KY","cement","1975",0.126908,"stick_0821_80p_highGDPhighPop"
"MD","cement","1975",0.232264,"stick_0821_80p_highGDPhighPop"
"ME","cement","1975",0.0559843,"stick_0821_80p_highGDPhighPop"
"MI","cement","1975",0.612528,"stick_0821_80p_highGDPhighPop"
"MO","cement","1975",0.563997,"stick_0821_80p_highGDPhighPop"
"MT","cement","1975",0.0690182,"stick_0821_80p_highGDPhighPop"
"NE","cement","1975",0.0185551,"stick_0821_80p_highGDPhighPop"
"NM","cement","1975",0.0356656,"stick_0821_80p_highGDPhighPop"
"NV","cement","1975",0.0580151,"stick_0821_80p_highGDPhighPop"
"NY","cement","1975",0.305146,"stick_0821_80p_highGDPhighPop"
"OH","cement","1975",0.169795,"stick_0821_80p_highGDPhighPop"
"OK","cement","1975",0.168781,"stick_0821_80p_highGDPhighPop"
"PA","cement","1975",0.718206,"stick_0821_80p_highGDPhighPop"
"SC","cement","1975",0.298788,"stick_0821_80p_highGDPhighPop"
"SD","cement","1975",0.0199013,"stick_0821_80p_highGDPhighPop"
"TN","cement","1975",0.161002,"stick_0821_80p_highGDPhighPop"
"TX","cement","1975",0.946288,"stick_0821_80p_highGDPhighPop"
"UT","cement","1975",0.143225,"stick_0821_80p_highGDPhighPop"
"VA","cement","1975",0.0851679,"stick_0821_80p_highGDPhighPop"
"WV","cement","1975",0.0841773,"stick_0821_80p_highGDPhighPop"
"WY","cement","1975",0.0318568,"stick_0821_80p_highGDPhighPop"
"USA","gas pipeline","1975",3.13957,"stick_0821_80p_highGDPhighPop"
