"region","sector","Year","co2.emiss","scenario"
"AL","cement","1975",0.398131,"stick_20240822_60p"
"AR","cement","1975",0.165106,"stick_20240822_60p"
"AZ","cement","1975",0.13985,"stick_20240822_60p"
"CA","cement","1975",1.2395,"stick_20240822_60p"
"CO","cement","1975",0.0582999,"stick_20240822_60p"
"FL","cement","1975",0.321596,"stick_20240822_60p"
"GA","cement","1975",0.103447,"stick_20240822_60p"
"HI","cement","1975",0.0272432,"stick_20240822_60p"
"IA","cement","1975",0.26863,"stick_20240822_60p"
"IL","cement","1975",0.311459,"stick_20240822_60p"
"IN","cement","1975",0.321216,"stick_20240822_60p"
"KS","cement","1975",0.213637,"stick_20240822_60p"
"KY","cement","1975",0.126908,"stick_20240822_60p"
"MD","cement","1975",0.232264,"stick_20240822_60p"
"ME","cement","1975",0.0559843,"stick_20240822_60p"
"MI","cement","1975",0.612528,"stick_20240822_60p"
"MO","cement","1975",0.563997,"stick_20240822_60p"
"MT","cement","1975",0.0690182,"stick_20240822_60p"
"NE","cement","1975",0.0185551,"stick_20240822_60p"
"NM","cement","1975",0.0356656,"stick_20240822_60p"
"NV","cement","1975",0.0580151,"stick_20240822_60p"
"NY","cement","1975",0.305146,"stick_20240822_60p"
"OH","cement","1975",0.169795,"stick_20240822_60p"
"OK","cement","1975",0.168781,"stick_20240822_60p"
"PA","cement","1975",0.718206,"stick_20240822_60p"
"SC","cement","1975",0.298788,"stick_20240822_60p"
"SD","cement","1975",0.0199013,"stick_20240822_60p"
"TN","cement","1975",0.161002,"stick_20240822_60p"
"TX","cement","1975",0.946288,"stick_20240822_60p"
"UT","cement","1975",0.143225,"stick_20240822_60p"
"VA","cement","1975",0.0851679,"stick_20240822_60p"
"WV","cement","1975",0.0841773,"stick_20240822_60p"
"WY","cement","1975",0.0318568,"stick_20240822_60p"
"USA","gas pipeline","1975",3.13957,"stick_20240822_60p"
"CA","N fertilizer","1975",0.275631,"stick_20240822_60p"
"FL","N fertilizer","1975",1.59092,"stick_20240822_60p"
"GA","N fertilizer","1975",0.256798,"stick_20240822_60p"
"IA","N fertilizer","1975",0.342255,"stick_20240822_60p"
"LA","N fertilizer","1975",1.71844,"stick_20240822_60p"
"MO","N fertilizer","1975",0.741614,"stick_20240822_60p"
"NC","N fertilizer","1975",0.277035,"stick_20240822_60p"
"OH","N fertilizer","1975",0.342663,"stick_20240822_60p"
"TX","N fertilizer","1975",0.317776,"stick_20240822_60p"
"AK","other industrial energy use","1975",0.840883,"stick_20240822_60p"
"AL","other industrial energy use","1975",8.06729860181692,"stick_20240822_60p"
"AR","other industrial energy use","1975",2.31005360592561,"stick_20240822_60p"
"AZ","other industrial energy use","1975",0.987046113754401,"stick_20240822_60p"
"CA","other industrial energy use","1975",11.4529779949902,"stick_20240822_60p"
"CO","other industrial energy use","1975",2.28680265761733,"stick_20240822_60p"
"CT","other industrial energy use","1975",1.0563351,"stick_20240822_60p"
"DC","other industrial energy use","1975",0.21991823,"stick_20240822_60p"
"DE","other industrial energy use","1975",0.4238051,"stick_20240822_60p"
"FL","other industrial energy use","1975",2.15353932112671,"stick_20240822_60p"
"GA","other industrial energy use","1975",2.9876271083808,"stick_20240822_60p"
"HI","other industrial energy use","1975",0.17079586,"stick_20240822_60p"
"IA","other industrial energy use","1975",2.96375014866992,"stick_20240822_60p"
"ID","other industrial energy use","1975",0.962078,"stick_20240822_60p"
"IL","other industrial energy use","1975",11.0978205219141,"stick_20240822_60p"
"IN","other industrial energy use","1975",14.3406197927884,"stick_20240822_60p"
