"Units","scenario","year","market","value"
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"AKCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"AKairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"ALCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"ALairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"ARCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"ARairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"AZCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"AZairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"CACO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"CAairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"COCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"COairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"CTCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"CTairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"DCCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"DCairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"DECO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"DEairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"FLCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"FLairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"GACO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"GAairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"HICO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"HIairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"IACO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"IAairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"IDCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"IDairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"ILCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"ILairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"INCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"INairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"KSCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"KSairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"KYCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"KYairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"LACO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"LAairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MACO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MAairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MDCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MDairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MECO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MEairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MICO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MIairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MNCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MNairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MOCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MOairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MSCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MSairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MTCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"MTairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NCCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NCairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NDCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NDairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NECO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NEairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NHCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NHairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NJCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NJairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NMCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NMairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NVCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NVairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NYCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"NYairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"OHCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"OHairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"OKCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"OKairCO2",0
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"ORCO2 removal",0.001
"1975$/kg","crt2030_80p_nl_202502_onshoring",1975,"ORairCO2",0
